word,binary
cryptoart,11010000011
comic,11010000100
procreat,11010000101
grey,11010000110
cross,11010000111
nftart,11010001000
canva,11010001001
nftcollector,11010001010
contemporaryart,11010001011
oil,11010001100
galleri,11010001101
name,11010001110
pictur,11010001111
nftartist,11010010000
titl,11010010001
someth,11010010010
originalcharact,11010010011
twitch,11010010100
ink,11010010101
surreal,11010010110
digitalartist,11010010111
wip,11010011000
guy,11010011001
craft,11010011010
watercolor,11010011011
jazz,11010011100
myart,11010011101
sketchbook,11010011110
past,11010011111
artistsontwitt,11010100000
boy,11010100001
lt,11010100010
interior,11010100011
modern,11010100100
exterior,11010100101
floor,11010100110
church,11010100111
resid,11010101000
street,11010101001
realest,11010101010
insid,11010101011
tower,11010101100
firm,11010101101
window,11010101110
commercialbuild,11010101111
renov,11010110000
render,11010110001
door,11010110010
room,11010110011
glass,11010110100
itali,11010110101
apart,11010110110
bridg,11010110111
plu,11010111000
wood,11010111001
publish,11010111010
furnitur,11010111011
visual,11010111100
arch,11010111101
concret,11010111110
stun,11010111111
urban,11011000000
castl,11011000001
town,11011000010
architecturedesign,11011000011
roof,11011000100
rank,11011000101
homedesign,11011000110
facad,11011000111
bird,11011001000
sticker,11011001001
animallov,11011001010
wildlif,11011001011
eleph,11011001100
decal,11011001101
naturecut,11011001110
vinyldec,11011001111
vinylstick,11011010000
cardec,11011010001
photograph,11011010010
zoo,11011010011
doubl,11011010100
insect,11011010101
wallpap,11011010110
fli,11011010111
fox,11011011000
invertebr,11011011001
bee,11011011010
hors,11011011011
squirrel,11011011100
macro,11011011101
tiger,11011011110
taken,11011011111
bear,11011100000
owl,11011100001
sheep,11011100010
wild,11011100011
tree,11011100100
addit,11011100101
duck,11011100110
sky,11011100111
garden,11011101000
deer,11011101001
lion,11011101010
hunt,11011101011
wolf,11011101100
butterfli,11011101101
beak,11011101110
cow,11011101111
camera,11011110000
speci,11011110001
walk,11011110010
turtl,11011110011
hunter,11011110100
close,11011110101
desert,11011110110
monkey,11011110111
rescu,11011111000
honeybe,11011111001
